epoch_jd,pt_index,x,y,z
2305813.5,0,0.3107387397916045,-0.11810819098774665,-0.12389013849215623
2305813.5,1,0.27413229374414205,-0.20187199680947898,-0.09978174043151072
2305813.5,2,0.21805828150910023,-0.2712998816259838,-0.068587587263516
2305813.5,3,0.14649884093387655,-0.3214615460002934,-0.03252304361899595
2305813.5,4,0.06453581221307117,-0.3487947944430223,0.0058506907706825
2305813.5,5,-0.022010260809249373,-0.3513583902112022,0.043808522361368826
2305813.5,6,-0.10699346225205272,-0.32897028297665853,0.07865488907893989
2305813.5,7,-0.18437866682585924,-0.2832202511150662,0.10791512963916218
2305813.5,8,-0.24867018224546814,-0.21735700041544023,0.1295112833761132
2305813.5,9,-0.2953020102931001,-0.13605764545726035,0.141909635619939
2305813.5,10,-0.32096216745946693,-0.04509568996454168,0.14422965836584414
2305813.5,11,-0.32382799379658267,0.04906894679008771,0.13630657743511504
2305813.5,12,-0.30369570283739294,0.13974872925358045,0.118703110298095
2305813.5,13,-0.2619949171502297,0.2205035279332013,0.09266951424822573
2305813.5,14,-0.20168715594853698,0.285598089075116,0.06005478502769928
2305813.5,15,-0.12705546894283945,0.33040941140105046,0.02317531221385948
2305813.5,16,-0.04340019955924016,0.35175509285923956,-0.015349662673201335
2305813.5,17,0.04333749436888521,0.34811931548972963,-0.05278408866951406
2305813.5,18,0.12699760592167492,0.31976045209375364,-0.08646943006248262
2305813.5,19,0.20163875901751077,0.26869266702814715,-0.1140134679683962
2305813.5,20,0.26196014797785455,0.1985428368759904,-0.13346018435592993
2305813.5,21,0.303677975651718,0.11429295428629258,-0.14342866220831627
2305813.5,22,0.32382966676071984,0.021926292907230208,-0.14321114124655243
2305813.5,23,0.3209842442441302,-0.07199752838753673,-0.13282326122750687
2305813.5,24,0.2953439150659585,-0.16080840863287854,-0.11300292474522348
2305813.5,25,0.3107387397916045,-0.11810819098774665,-0.12389013849215623
2308813.5,0,-0.32502893935235233,0.07048152116403442,0.12345191857373329
2308813.5,1,-0.29920396922560566,0.15942265181013024,0.10446349799977238
2308813.5,2,-0.2521295666845969,0.23704152445930993,0.07805631459933188
2308813.5,3,-0.18714887814745734,0.2978256359997684,0.04610588586762664
2308813.5,4,-0.10887673778945166,0.3374581752661752,0.010881393802087988
2308813.5,5,-0.022872016890798777,0.35312461596735145,-0.02511543647350415
2308813.5,6,0.06475720079232124,0.3437123879820012,-0.05932812713030941
2308813.5,7,0.14778763213261945,0.3098900022763429,-0.08932700368386477
2308813.5,8,0.22032263026035662,0.25405960639397746,-0.11298167433859374
2308813.5,9,0.2772109536705139,0.18018631838448282,-0.1286123363869217
2308813.5,10,0.3144126034734511,0.09351659033542677,-0.13510907754627216
2308813.5,11,0.32928573101970376,0.00020557393589349518,-0.13201068876121216
2308813.5,12,0.3207742427440941,-0.09312003749135397,-0.11953740279991905
2308813.5,13,0.289482752213796,-0.17983263868518784,-0.09857521993126933
2308813.5,14,0.23763358490467038,-0.2537743736418145,-0.07061295517540452
2308813.5,15,0.16890889800445943,-0.3096943883015346,-0.037636479030544685
2308813.5,16,0.08818916522116074,-0.34362164625083785,-0.0019876789718323708
2308813.5,17,0.001206612349618475,-0.35314684504308763,0.03380183703563287
2308813.5,18,-0.08586178930333588,-0.3375934667534096,0.06719049358807197
2308813.5,19,-0.16683288833118232,-0.29806583475720916,0.09580720421428379
2308813.5,20,-0.2359563849851963,-0.23737076390536968,0.11761973276861935
2308813.5,21,-0.28832317590338674,-0.15981834556628918,0.1310790127856062
2308813.5,22,-0.3202140272505385,-0.07091595912553565,0.13522917914750882
2308813.5,23,-0.3293637998025102,0.023022787013312295,0.12977548781092751
2308813.5,24,-0.3151224127736728,0.11532644946577758,0.11510527761181663
2308813.5,25,-0.32502893935235233,0.07048152116403442,0.12345191857373329
2311813.5,0,0.3330962063906355,-0.021519073818756878,-0.12016527724118672
2311813.5,1,0.31876254628658596,-0.11391091009998991,-0.10616602138025681
2311813.5,2,0.28179173541529273,-0.19821332030886432,-0.08462752175555407
2311813.5,3,0.22480942276994229,-0.2684396468606229,-0.05707950116965287
2311813.5,4,0.15186233229015145,-0.31960279567894606,-0.02547837773276574
2311813.5,5,0.06813071056284892,-0.34806939244150464,0.007931708655533382
2311813.5,6,-0.02043934593492176,-0.3518180670420839,0.040778112277017206
2311813.5,7,-0.10755804476726796,-0.33058255464530656,0.07072822506040516
2311813.5,8,-0.1870386374556261,-0.2858706735250516,0.09565515410406819
2311813.5,9,-0.25323665315752986,-0.22085738246686953,0.11378871062035026
2311813.5,10,-0.301450724672568,-0.1401594454383952,0.12384111614819898
2311813.5,11,-0.3282565199395082,-0.04950765861107674,0.12509847321287265
2311813.5,12,-0.3317500333287506,0.04466009911552647,0.11747149986440565
2311813.5,13,-0.31168290176221536,0.1356560998585789,0.10150189375595954
2311813.5,14,-0.26948011103571445,0.21701779377862546,0.07832387297996073
2311813.5,15,-0.20813880501587512,0.2829668470759693,0.04958361277998575
2311813.5,16,-0.13201540294559713,0.32881957160125885,0.01732231440816121
2311813.5,17,-0.046516165822048317,0.35131957192578056,-0.01616878500682229
2311813.5,18,0.04228679382812264,0.3488689995962685,-0.04851115205041665
2311813.5,19,0.12808677023105786,0.3216420026493832,-0.07740788511374358
2311813.5,20,0.20479037279088977,0.27157232900897144,-0.10080683879499719
2311813.5,21,0.2669502741039582,0.2022159756602499,-0.11704636302871436
2311813.5,22,0.3101520763173694,0.11849861756639364,-0.12497330299841287
2311813.5,23,0.3313278143046184,0.026365764830921103,-0.12402488396464327
2311813.5,24,0.32897381221678623,-0.06763951715338597,-0.11426865659465597
2311813.5,25,0.3330962063906355,-0.021519073818756878,-0.12016527724118672
2314813.5,0,-0.3347053321637242,-0.027883811389397013,0.11422741259813315
2314813.5,1,-0.3323457564612699,0.06617341045476889,0.10497440100677384
2314813.5,2,-0.3063832528550332,0.1555309471479527,0.088266341875341
2314813.5,3,-0.25866150366646495,0.2338426397427745,0.06528989840720534
2314813.5,4,-0.19256957220583557,0.2955468697601921,0.03767693973882065
2314813.5,5,-0.11280131515667201,0.3362614977792084,0.00738865340156744
2314813.5,6,-0.02502185503100157,0.3530949147625804,-0.023423908432167823
2314813.5,7,0.06453484307764608,0.344851641338167,-0.05257250794021622
2314813.5,8,0.14950856117700953,0.3121171966931968,-0.07798708331036727
2314813.5,9,0.22386456425881682,0.2572164662011435,-0.09786278529092801
2314813.5,10,0.2823222166944244,0.1840485610133475,-0.11078817203661953
2314813.5,11,0.32073002893126545,0.09780987122876811,-0.11584544735146465
2314813.5,12,0.33636049977964555,0.004624980405081412,-0.11267563491724461
2314813.5,13,0.32810378880744756,-0.0888883388855476,-0.10150404503283077
2314813.5,14,0.2965464742011492,-0.1760891352818683,-0.083124242180289
2314813.5,15,0.24392981451773424,-0.2507848860208021,-0.05884165006142075
2314813.5,16,0.1739905092718525,-0.3076712121379849,-0.03038081855200558
2314813.5,17,0.09169530555823659,-0.34270847737467103,0.0002370549183272233
2314813.5,18,0.002888308194440944,-0.3534085722526732,0.0308376469426225
2314813.5,19,-0.08612395734225045,-0.3390115582812046,0.059247890847243946
2314813.5,20,-0.1690203096996587,-0.3005396463733795,0.08345026386567848
2314813.5,21,-0.2399137391966217,-0.24072468469167171,0.10172604234698612
2314813.5,22,-0.293769462108597,-0.16381425958816095,0.11277735639828292
2314813.5,23,-0.32676252345108514,-0.07527015077347349,0.11581938139524559
2314813.5,24,-0.33654952051410386,0.018619501991060484,0.11063609713106334
2314813.5,25,-0.3347053321637242,-0.027883811389397013,0.11422741259813315
2317813.5,0,0.3297868464142772,0.07669668217596205,-0.10589062925549626
2317813.5,1,0.3396346598501176,-0.01720324339149277,-0.10103331107357849
2317813.5,2,0.32536277952961923,-0.10988149520869193,-0.08900110420611504
2317813.5,3,0.2879849787267947,-0.1947564606532157,-0.07064867596408553
2317813.5,4,0.23015586387266784,-0.26580069129798484,-0.04727945098273889
2317813.5,5,0.15598215410349578,-0.31796902785939957,-0.020553022446226143
2317813.5,6,0.07073133990190313,-0.3475570336118246,0.007632540526665325
2317813.5,7,-0.019542485981404883,-0.35246357430909053,0.035275615383078274
2317813.5,8,-0.1084286278683798,-0.33234010543404935,0.0604131751484556
2317813.5,9,-0.18961486191498478,-0.28861547617260935,0.08126012663367828
2317813.5,10,-0.2573356091181177,-0.22439455935864444,0.09633605257439783
2317813.5,11,-0.3067813770959911,-0.14423786416244566,0.10457034132545323
2317813.5,12,-0.33444038014711,-0.05383774758881537,0.10537824028500178
2317813.5,13,-0.33834803423860044,0.04038580772156391,0.09870240628581783
2317813.5,14,-0.3182265711440814,0.13174115365562258,0.08501699817150207
2317813.5,15,-0.2755048221173919,0.2137402607719589,0.06529400527022125
2317813.5,16,-0.21321675535561324,0.2805595525983136,0.040934210783909665
2317813.5,17,-0.13578599182277676,0.3274535316028885,0.013667691797043052
2317813.5,18,-0.048711610562391275,0.35109181725128746,-0.014569063850058926
2317813.5,19,0.04182241469731383,0.34979566653203814,-0.041770696203184667
2317813.5,20,0.12938641755027885,0.32365718745802063,-0.06600539699434466
2317813.5,21,0.20776168298855904,0.27453279638774175,-0.08555211071584896
2317813.5,22,0.2713821160913459,0.20591136090715056,-0.09902275992998624
2317813.5,23,0.3157295634987189,0.12266640072515413,-0.10546082506901742
2317813.5,24,0.3376546920841119,0.030709928068947626,-0.10440926321110774
2317813.5,25,0.3297868464142772,0.07669668217596205,-0.10589062925549626
2320813.5,0,-0.31836703271186984,-0.12403491830662339,0.09545790523594708
2320813.5,1,-0.34041550583157326,-0.0321061400120963,0.09455175177501553
2320813.5,2,-0.3382882580589697,0.06210267134373443,0.08693077931223858
2320813.5,3,-0.3121361335637132,0.15190093320582349,0.07313627871062674
2320813.5,4,-0.26381629718134303,0.23091128050405263,0.05414802539593323
2320813.5,5,-0.19676038170987137,0.2935224105514818,0.031314663685756715
2320813.5,6,-0.11573055229324788,0.33528762115077065,0.006257792720945755
2320813.5,7,-0.026481402112476626,0.3532407715964129,-0.01924307505256958
2320813.5,8,0.06464866172325574,0.3461068591781009,-0.04337690003121665
2320813.5,9,0.15118761510983658,0.3143925710688582,-0.06442975144570925
2320813.5,10,0.22698950274617716,0.26035030631119016,-0.08090654422956135
2320813.5,11,0.28667096037068124,0.18781820484138434,-0.09163722376614418
2320813.5,12,0.32599357294471004,0.1019475299060394,-0.09585986320606472
2320813.5,13,0.3421648878358649,0.008836773679770447,-0.09327476009760485
2320813.5,14,0.3340366940806098,-0.08490151591578642,-0.08406569844027488
2320813.5,15,0.3021864926391861,-0.1726103831635314,-0.06888686204943618
2320813.5,16,0.24887638272726384,-0.24806121797691516,-0.04881634309095239
2320813.5,17,0.17789233821581188,-0.30589602488622925,-0.025279555348511323
2320813.5,18,0.0942753088366884,-0.3420078240049816,5.199748425302095e-05
